endInstructions.keys,endInstructions.rt,trials.maxVal,trials.minVal,trials.label,trials.stepSizes,trials.startVal,trials.sf,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,date,frameRate,expName,session,participant,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,8,30,up,2,db,0.00794328234724,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,8,31,up,2,db,0.00158489319246,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,9,32,up,2,db,0.01,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,9,33,up,2,db,0.0251188643151,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,9,34,up,2,db,0.00398107170553,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,9,35,up,2,db,0.00158489319246,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,10,36,up,2,db,0.0251188643151,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,10,37,up,2,db,0.01,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,10,38,up,2,db,0.00158489319246,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,10,39,up,2,db,0.00501187233627,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,11,40,up,2,db,0.0125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,11,41,up,2,db,0.0063095734448,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,11,42,up,2,db,0.00199526231497,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,11,43,up,2,db,0.0316227766017,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,12,44,up,2,db,0.0063095734448,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,12,45,up,2,db,0.0125892541179,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,12,46,up,2,db,0.0316227766017,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,12,47,up,2,db,0.00199526231497,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,13,48,up,2,db,0.00199526231497,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,13,49,up,2,db,0.0398107170553,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,13,50,up,2,db,0.0125892541179,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,13,51,up,2,db,0.0063095734448,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,14,52,up,2,db,0.0398107170553,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_2,"[4, 2, 2, 1]",0.1,2,1,14,53,up,2,db,0.0158489319246,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,14,54,down,1,db,0.0056234132519,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_8,"[4, 2, 2, 1]",0.001,8,2,14,55,up,2,db,0.00251188643151,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,low_2,"[4, 2, 2, 1]",0.001,2,0,15,56,up,1,db,0.0063095734448,1,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
,,1,0,high_8,"[4, 2, 2, 1]",0.1,8,3,15,57,up,2,db,0.0501187233627,0,2016_maj_03_1140,74.9501921946,interleaved_SF_contrast,001,2,
